local,remote,bw[MB],lat[ms]
172.21.20.10,172.21.20.11,4647.168,242.395
172.21.20.10,172.21.20.12,4768.768,236.1
172.21.20.10,172.21.20.13,4615.264,228.024
172.21.20.10,172.21.20.14,4665.568,235.128
172.21.20.10,172.21.20.15,4701.664,241.051
172.21.20.10,172.21.20.16,4592.992,236.574
172.21.20.10,172.21.20.17,4570.304,239.923
172.21.20.10,172.21.20.18,4698.048,240.517
172.21.20.10,172.21.20.33,4758.528,246.609
172.21.20.10,172.21.20.36,4175.872,275.33
172.21.20.10,172.21.20.37,4652.384,240.5
172.21.20.10,172.21.20.38,4459.36,259.134
172.21.20.10,172.21.20.39,4805.92,246.366
172.21.20.10,172.21.20.40,4826.016,242.836
172.21.20.10,172.21.20.41,4860.832,263.745
172.21.20.10,172.21.20.42,4837.216,264.655
172.21.20.10,172.21.20.43,4725.44,265.604
172.21.20.10,172.21.20.44,4170.72,262.433
172.21.20.10,172.21.20.45,4682.208,252.016
172.21.20.10,172.21.20.46,4769.344,246.336
172.21.20.10,172.21.20.47,2060.064,305.064
172.21.20.10,172.21.20.48,4811.872,248.725
172.21.20.10,172.21.20.52,4763.52,251.667
172.21.20.10,172.21.20.54,4789.6,318.167
172.21.20.10,172.21.20.55,4892.672,315.358
172.21.20.10,172.21.20.56,4782.688,242.307
172.21.20.10,172.21.20.57,4942.464,261.78
172.21.20.10,172.21.20.9,4745.248,238.237
172.21.20.11,172.21.20.10,4042.368,253.485
172.21.20.11,172.21.20.12,4603.072,215.193
172.21.20.11,172.21.20.13,4506.848,242.689
172.21.20.11,172.21.20.14,4360.928,218.079
172.21.20.11,172.21.20.15,4572.512,212.314
172.21.20.11,172.21.20.16,4583.68,228.885
172.21.20.11,172.21.20.17,4633.76,212.993
172.21.20.11,172.21.20.18,4136.512,228.885
172.21.20.11,172.21.20.33,4562.848,284.657
172.21.20.11,172.21.20.36,4595.744,243.576
172.21.20.11,172.21.20.37,4605.376,285.266
172.21.20.11,172.21.20.38,4569.408,279.642
172.21.20.11,172.21.20.39,4586.368,278.94
172.21.20.11,172.21.20.40,4442.848,283.166
172.21.20.11,172.21.20.41,4598.72,241.313
172.21.20.11,172.21.20.42,4529.568,239.406
172.21.20.11,172.21.20.43,4610.816,246.427
172.21.20.11,172.21.20.44,4704.352,244.32
172.21.20.11,172.21.20.45,4633.28,273.748
172.21.20.11,172.21.20.46,4614.048,271.518
172.21.20.11,172.21.20.47,3389.728,313.43
172.21.20.11,172.21.20.48,4558.176,274.65
172.21.20.11,172.21.20.52,4609.44,286.656
172.21.20.11,172.21.20.54,4338.016,303.03
172.21.20.11,172.21.20.55,4688.256,237.023
172.21.20.11,172.21.20.56,4706.048,223.164
172.21.20.11,172.21.20.57,4707.616,208.333
172.21.20.11,172.21.20.9,4240.768,226.706
172.21.20.12,172.21.20.10,4513.76,237.445
172.21.20.12,172.21.20.11,4548.896,215.54
172.21.20.12,172.21.20.13,4520.416,239.722
172.21.20.12,172.21.20.14,4424.896,223.439
172.21.20.12,172.21.20.15,4623.392,210.993
172.21.20.12,172.21.20.16,4605.568,229.806
172.21.20.12,172.21.20.17,4693.824,213.789
172.21.20.12,172.21.20.18,4469.376,226.886
172.21.20.12,172.21.20.33,4748.131,276.319
172.21.20.12,172.21.20.36,4760.352,243.398
172.21.20.12,172.21.20.37,4759.904,267.559
172.21.20.12,172.21.20.38,4580.352,269.724
172.21.20.12,172.21.20.39,4729.44,270.746
172.21.20.12,172.21.20.40,4655.008,264.795
172.21.20.12,172.21.20.41,4653.6,242.807
172.21.20.12,172.21.20.42,4666.976,228.964
172.21.20.12,172.21.20.43,4719.264,242.219
172.21.20.12,172.21.20.44,4427.008,249.283
172.21.20.12,172.21.20.45,4440.9,260.937
172.21.20.12,172.21.20.46,4793.92,272.22
172.21.20.12,172.21.20.47,3168.864,304.646
172.21.20.12,172.21.20.48,4764.544,266.702
172.21.20.12,172.21.20.52,4690.688,269.215
172.21.20.12,172.21.20.54,4555.008,250.187
172.21.20.12,172.21.20.55,4585.056,249.75
172.21.20.12,172.21.20.56,4408.032,221.019
172.21.20.12,172.21.20.57,4784.207,229.621
172.21.20.12,172.21.20.9,4540.128,232.126
172.21.20.13,172.21.20.10,4546.484,224.744
172.21.20.13,172.21.20.11,4537.568,240.154
172.21.20.13,172.21.20.12,4646.816,239.664
172.21.20.13,172.21.20.14,4479.616,229.043
172.21.20.13,172.21.20.15,4671.2,235.266
172.21.20.13,172.21.20.16,4401.696,242.512
172.21.20.13,172.21.20.17,4532.992,233.046
172.21.20.13,172.21.20.18,4420.32,241.458
172.21.20.13,172.21.20.33,4601.824,252.461
172.21.20.13,172.21.20.36,4622.24,281.69
172.21.20.13,172.21.20.37,3384.608,239.607
172.21.20.13,172.21.20.38,4811.648,251.383
172.21.20.13,172.21.20.39,4777.043,241.663
172.21.20.13,172.21.20.40,4657.568,244.141
172.21.20.13,172.21.20.41,4635.488,274.499
172.21.20.13,172.21.20.42,4681.44,253.165
172.21.20.13,172.21.20.43,4682.112,256.082
172.21.20.13,172.21.20.44,4805.696,260.146
172.21.20.13,172.21.20.45,4862.368,247.893
172.21.20.13,172.21.20.46,4799.522,245.218
172.21.20.13,172.21.20.47,2797.472,298.954
172.21.20.13,172.21.20.48,4711.456,254.001
172.21.20.13,172.21.20.52,4471.872,253.453
172.21.20.13,172.21.20.54,2186.912,437.908
172.21.20.13,172.21.20.55,3718.08,293.772
172.21.20.13,172.21.20.56,4863.968,237.248
172.21.20.13,172.21.20.57,4892.736,237.84
172.21.20.13,172.21.20.9,4521.056,235.488
172.21.20.14,172.21.20.10,4401.952,234.632
172.21.20.14,172.21.20.11,4599.264,230.521
172.21.20.14,172.21.20.12,4755.136,221.976
172.21.20.14,172.21.20.13,4663.648,232.585
172.21.20.14,172.21.20.15,4543.136,222.296
172.21.20.14,172.21.20.16,1860.288,293.083
172.21.20.14,172.21.20.17,4529.984,233.182
172.21.20.14,172.21.20.18,4108.704,225.53
172.21.20.14,172.21.20.33,4808.416,271.444
172.21.20.14,172.21.20.36,4670.048,252.398
172.21.20.14,172.21.20.37,4716.032,271.592
172.21.20.14,172.21.20.38,4691.552,269.505
172.21.20.14,172.21.20.39,4878.016,266.88
172.21.20.14,172.21.20.40,4741.568,275.179
172.21.20.14,172.21.20.41,4865.248,237.023
172.21.20.14,172.21.20.42,4675.872,235.363
172.21.20.14,172.21.20.43,4851.52,243.013
172.21.20.14,172.21.20.44,4840.512,242.248
172.21.20.14,172.21.20.45,4834.944,269.397
172.21.20.14,172.21.20.46,4804.128,266.916
172.21.20.14,172.21.20.47,3108.064,305.204
172.21.20.14,172.21.20.48,4650.976,264.795
172.21.20.14,172.21.20.52,4847.68,279.838
172.21.20.14,172.21.20.54,2258.56,247.709
172.21.20.14,172.21.20.55,2546.016,267.344
172.21.20.14,172.21.20.56,4894.016,219.298
172.21.20.14,172.21.20.57,4864.096,222.568
172.21.20.14,172.21.20.9,4740.48,227.144
172.21.20.15,172.21.20.10,4642.464,234.935
172.21.20.15,172.21.20.11,4662.336,213.47
172.21.20.15,172.21.20.12,4728.64,206.996
172.21.20.15,172.21.20.13,4672.128,236.435
172.21.20.15,172.21.20.14,4026.304,218.221
172.21.20.15,172.21.20.16,4523.04,221.754
172.21.20.15,172.21.20.17,4579.008,203.707
172.21.20.15,172.21.20.18,4052.096,228.389
172.21.20.15,172.21.20.33,4663.753,270.709
172.21.20.15,172.21.20.36,4658.848,247.28
172.21.20.15,172.21.20.37,4776.544,277.778
172.21.20.15,172.21.20.38,4743.992,271.518
172.21.20.15,172.21.20.39,4646.752,258.933
172.21.20.15,172.21.20.40,4687.392,270.051
172.21.20.15,172.21.20.41,4792.608,242.248
172.21.20.15,172.21.20.42,4760.128,238.777
172.21.20.15,172.21.20.43,4774.432,239.263
172.21.20.15,172.21.20.44,4675.872,242.718
172.21.20.15,172.21.20.45,4730.208,267.38
172.21.20.15,172.21.20.46,4696.832,272.257
172.21.20.15,172.21.20.47,2635.52,304.785
172.21.20.15,172.21.20.48,4715.936,268.601
172.21.20.15,172.21.20.52,4683.136,271.813
172.21.20.15,172.21.20.54,4708.384,249.501
172.21.20.15,172.21.20.55,4808.672,244.26
172.21.20.15,172.21.20.56,4757.632,218.484
172.21.20.15,172.21.20.57,4788.64,224.795
172.21.20.15,172.21.20.9,4612.224,220.143
172.21.20.16,172.21.20.10,4609.984,246.488
172.21.20.16,172.21.20.11,4646.688,234.082
172.21.20.16,172.21.20.12,4333.472,230.814
172.21.20.16,172.21.20.13,4682.285,240.645
172.21.20.16,172.21.20.14,4712.224,225.606
