msg_size,lat,msg_rate,loc_cpus_used,rem_cpus_used
1,231992,4310,65,61.5
2,225149,4442,65.5,61.5
4,233618,4280,68.5,62.5
8,227041,4404,53,63.5
16,232396,4292,61.5,61.2
32,238550,4192,65.5,51.5
64,243814,4112,64.7,44.5
128,261780,3820,48.5,48
256,299312,3341,50,35
512,387372,2582,45,30
1024,546001,1832,28.5,37.5
2048,820008,1220,40.5,40.5
4096,1052632,948,55.5,50.7
8192,1670823,600,72.1,62
16384,2617801,382,78,72
32768,4629630,216,79.5,80.5
65536,8973214,112,76.1,80
131072,16260163,61.5,84,81
262144,31746032,31.4,82.5,83.1
