local,remote,msg_size,lat,msg_rate,loc_cpus_used,rem_cpus_used
172.21.20.10,172.21.20.11,64,246275,4060,68.5,54
172.21.20.10,172.21.20.12,64,239378,4167,61,56.2
172.21.20.10,172.21.20.13,64,223889,4466,68.5,45
172.21.20.10,172.21.20.14,64,233781,4278,66.5,54.5
172.21.20.10,172.21.20.15,64,241546,4140,52.5,67
172.21.20.10,172.21.20.16,64,241181,4157,43.8,58.5
172.21.20.10,172.21.20.17,64,238749,4178,51.5,63.7
172.21.20.10,172.21.20.18,64,238209,4198,46.5,54.5
172.21.20.10,172.21.20.33,64,249938,4011,59.7,54.5
172.21.20.10,172.21.20.36,64,280820,3552,49,55.7
172.21.20.10,172.21.20.37,64,249876,4012,61.7,60.5
172.21.20.10,172.21.20.38,64,259034,3860,66.5,48
172.21.20.10,172.21.20.39,64,251889,3970,65,62.5
172.21.20.10,172.21.20.40,64,249626,4006,52.5,67.5
172.21.20.10,172.21.20.41,64,266631,3750,49.5,65.5
172.21.20.10,172.21.20.42,64,265076,3772,63,55.5
172.21.20.10,172.21.20.43,64,262398,3811,73,40
172.21.20.10,172.21.20.44,64,260213,3843,50,35
172.21.20.10,172.21.20.45,64,257301,3886,66.5,55
172.21.20.10,172.21.20.46,64,248108,4030,61.5,54
172.21.20.10,172.21.20.47,64,307692,3250,94.5,49.5
172.21.20.10,172.21.20.48,64,248385,4026,53.5,52
172.21.20.10,172.21.20.52,64,253293,3948,61,51.5
172.21.20.10,172.21.20.54,64,277316,3606,50,54
172.21.20.10,172.21.20.55,64,271370,3685,65.5,52
172.21.20.10,172.21.20.56,64,241517,4140,44.5,44.5
172.21.20.10,172.21.20.57,64,248880,4018,34.5,55
172.21.20.10,172.21.20.9,64,238863,4186,48,60
